ID,FINAL
1335,HG01188
1336,HG01190
1337,HG01191
1338,HG01197
1339,HG01198
1340,HG01200
1341,HG01204
1342,HG01205
1343,HG01241
1344,HG01242
1345,HG01247
1346,HG01248
1347,HG01250
1348,HG01251
1349,HG01253
1350,HG01254
1351,HG01256
1352,HG01257
1353,HG01259
1354,HG01260
1355,HG01269
1356,HG01271
1357,HG01272
1358,HG01275
1359,HG01277
1360,HG01280
1361,HG01281
1362,HG01284
1363,HG01286
1364,HG01302
1365,HG01303
1366,HG01305
1367,HG01308
1368,HG01311
1369,HG01312
1370,HG01323
1371,HG01325
1372,HG01326
1373,HG01334
1374,HG01341
1375,HG01342
1376,HG01344
1377,HG01345
1378,HG01348
1379,HG01350
1380,HG01351
1381,HG01353
1382,HG01354
1383,HG01356
1384,HG01357
1385,HG01359
1386,HG01360
1387,HG01362
1388,HG01363
1389,HG01365
1390,HG01366
1391,HG01369
1392,HG01372
1393,HG01374
1394,HG01375
1395,HG01377
1396,HG01378
1397,HG01383
1398,HG01384
1399,HG01389
1400,HG01390
1401,HG01392
1402,HG01393
1403,HG01395
1404,HG01396
1405,HG01398
1406,HG01402
1407,HG01403
1408,HG01405
1409,HG01412
1410,HG01413
1411,HG01414
1412,HG01431
1413,HG01432
1414,HG01435
1415,HG01437
1416,HG01438
1417,HG01440
1418,HG01441
1419,HG01443
1420,HG01444
1421,HG01447
1422,HG01455
1423,HG01456
1424,HG01459
1425,HG01461
1426,HG01462
1427,HG01464
1428,HG01465
1429,HG01468
1430,HG01471
1431,HG01474
1432,HG01479
1433,HG01485
1434,HG01486
1435,HG01488
1436,HG01489
1437,HG01491
1438,HG01492
1439,HG01494
1440,HG01495
1441,HG01497
1442,HG01498
1443,HG01500
1444,HG01501
1445,HG01503
1446,HG01504
1447,HG01506
1448,HG01507
1449,HG01509
1450,HG01510
1451,HG01512
1452,HG01513
1453,HG01515
1454,HG01516
1455,HG01518
1456,HG01519
1457,HG01521
1458,HG01522
1459,HG01524
1460,HG01525
1461,HG01527
1462,HG01528
1463,HG01530
1464,HG01531
1465,HG01536
1466,HG01537
1467,HG01550
1468,HG01551
1469,HG01556
1470,HG01565
1471,HG01566
1472,HG01571
1473,HG01572
1474,HG01577
1475,HG01578
1476,HG01583
1477,HG01586
1478,HG01589
1479,HG01593
1480,HG01595
1481,HG01596
1482,HG01597
1483,HG01598
1484,HG01599
1485,HG01600
1486,HG01602
1487,HG01603
1488,HG01605
1489,HG01606
1490,HG01607
1491,HG01608
1492,HG01610
1493,HG01612
1494,HG01613
1495,HG01615
1496,HG01617
1497,HG01618
1498,HG01619
1499,HG01620
1500,HG01623
1501,HG01624
1502,HG01625
1503,HG01626
1504,HG01628
1505,HG01630
1506,HG01631
1507,HG01632
1508,HG01668
1509,HG01669
1510,HG01670
1511,HG01672
1512,HG01673
1513,HG01675
1514,HG01676
1515,HG01678
1516,HG01679
1517,HG01680
1518,HG01682
1519,HG01684
1520,HG01685
1521,HG01686
1522,HG01694
1523,HG01695
1524,HG01697
1525,HG01699
1526,HG01700
1527,HG01702
1528,HG01704
1529,HG01705
1530,HG01707
1531,HG01708
1532,HG01709
1533,HG01710
1534,HG01746
1535,HG01747
1536,HG01756
1537,HG01757
1538,HG01761
1539,HG01762
1540,HG01765
1541,HG01766
1542,HG01767
1543,HG01768
1544,HG01770
1545,HG01771
1546,HG01773
1547,HG01775
1548,HG01776
1549,HG01777
1550,HG01779
1551,HG01781
1552,HG01783
1553,HG01784
1554,HG01785
1555,HG01786
1556,HG01789
1557,HG01790
1558,HG01791
1559,HG01794
1560,HG01795
1561,HG01796
1562,HG01797
1563,HG01798
1564,HG01799
1565,HG01800
1566,HG01801
1567,HG01802
1568,HG01804
1569,HG01805
1570,HG01806
1571,HG01807
1572,HG01808
1573,HG01809
1574,HG01810
1575,HG01811
1576,HG01812
1577,HG01813
1578,HG01815
1579,HG01816
1580,HG01817
1581,HG01840
1582,HG01841
1583,HG01842
1584,HG01843
1585,HG01844
1586,HG01845
1587,HG01846
1588,HG01847
1589,HG01848
1590,HG01849
1591,HG01850
1592,HG01851
1593,HG01852
1594,HG01853
1595,HG01855
1596,HG01857
1597,HG01858
1598,HG01859
1599,HG01860
1600,HG01861
1601,HG01862
1602,HG01863
1603,HG01864
1604,HG01865
1605,HG01866
1606,HG01867
1607,HG01868
1608,HG01869
1609,HG01870
1610,HG01871
1611,HG01872
1612,HG01873
1613,HG01874
1614,HG01878
1615,HG01879
1616,HG01880
1617,HG01882
1618,HG01883
1619,HG01885
1620,HG01886
1621,HG01889
1622,HG01890
1623,HG01892
1624,HG01893
1625,HG01894
1626,HG01896
1627,HG01912
1628,HG01914
1629,HG01915
1630,HG01917
1631,HG01918
1632,HG01920
1633,HG01921
1634,HG01923
1635,HG01924
1636,HG01926
